ds,y
2010-01-31,112.43773663803545
2010-02-28,111.18012715007603
2010-03-31,132.99399062321822
2010-04-30,138.52451773112972
2010-05-31,115.38209954753589
2010-06-30,117.08256394510146
2010-07-31,123.02272322533828
2010-08-31,113.97005926125134
2010-09-30,112.8752096831991
2010-10-31,106.17564857941136
2010-11-30,124.04480274213604
2010-12-31,130.72233548343158
2011-01-31,134.52824558048974
2011-02-28,152.51792965574427
2011-03-31,154.73045579478296
2011-04-30,148.1256602969341
2011-05-31,157.94038732942658
2011-06-30,143.828939193368
2011-07-31,153.02760241045817
2011-08-31,140.10059271210997
2011-09-30,135.53072003487134
2011-10-31,131.55256364476847
2011-11-30,150.78994965262567
2011-12-31,147.26376414344955
2012-01-31,154.57337742269513
2012-02-29,164.68293159609416
2012-03-31,179.24885454119337
2012-04-30,181.92355251491261
2012-05-31,182.29224194953449
2012-06-30,178.94656802406305
2012-07-31,187.1331808069637
2012-08-31,161.2486798689231
2012-09-30,156.91167711066112
2012-10-31,154.489818174017
2012-11-30,169.9374543238374
2012-12-31,181.53177834176714
2013-01-31,181.088420338761
2013-02-28,184.77874818429976
2013-03-31,192.39453133123666
2013-04-30,208.2047423025976
2013-05-31,208.93641442639412
2013-06-30,203.8452341464416
2013-07-31,188.67592234169044
2013-08-31,190.35729058453379
2013-09-30,185.9431054163593
2013-10-31,186.7495087738321
2013-11-30,195.9810491668189
2013-12-31,198.28876439019746
2014-01-31,211.43130850457516
2014-02-28,216.04063255591112
2014-03-31,225.30333624628645
2014-04-30,232.0503058067083
2014-05-31,215.33313449792124
2014-06-30,220.9426302691416
2014-07-31,214.23701876565767
2014-08-31,207.38897721405323
2014-09-30,206.80848093342
2014-10-31,220.95953048987516
2014-11-30,206.08297001768747
2014-12-31,228.24622683673184
2015-01-31,216.5370418270735
2015-02-28,236.82091976011378
2015-03-31,248.2924055776066
2015-04-30,255.68977865087422
2015-05-31,256.68019369510944
2015-06-30,253.8467778815994
2015-07-31,239.21019942201247
2015-08-31,232.8011856586835
2015-09-30,239.87342599329065
2015-10-31,231.4695654009471
2015-11-30,226.80412835653004
2015-12-31,235.43370228797218
2016-01-31,246.64438171198708
2016-02-29,267.47728595243007
2016-03-31,272.1297869453311
2016-04-30,280.52388283254214
2016-05-31,271.57235988607437
2016-06-30,272.7683175286137
2016-07-31,271.00472315173874
2016-08-31,258.0252276822381
2016-09-30,260.6638208436927
2016-10-31,251.70459247146678
2016-11-30,258.1051881707128
2016-12-31,265.44609684801344
2017-01-31,268.4332828352877
2017-02-28,291.39577984628465
2017-03-31,291.23516233514476
2017-04-30,299.0999529498215
2017-05-31,302.8363543280139
2017-06-30,299.07224940823954
2017-07-31,295.3230808717823
2017-08-31,283.71211612392466
2017-09-30,277.62323244688025
2017-10-31,280.3622543127488
2017-11-30,271.5109434715692
2017-12-31,280.9231002206153
2018-01-31,291.4184031011647
2018-02-28,303.5220253791881
2018-03-31,322.1885748705541
2018-04-30,315.7561675571195
2018-05-31,319.96508062445145
2018-06-30,329.8938263822885
2018-07-31,311.1498882315087
2018-08-31,314.40012454773677
2018-09-30,297.5406775031544
2018-10-31,303.35649953705894
2018-11-30,301.40944250394875
2018-12-31,313.78773539279547
2019-01-31,332.72246509965913
2019-02-28,321.6814366144612
2019-03-31,346.4657702051335
2019-04-30,348.90188481865823
2019-05-31,342.2371814111923
2019-06-30,331.93153716489235
2019-07-31,338.57703606171106
2019-08-31,328.2640583274895
2019-09-30,330.871028634071
2019-10-31,329.1748171641875
2019-11-30,345.82385007380077
2019-12-31,338.58515498021575
